doi,title,year,cited_by_count,in_refs_bib
10.1145/3065386,ImageNet classification with deep convolutional neural networks,2017,75705,
10.1109/5.726791,Gradient-based learning applied to document recognition,1998,58089,
10.48550/arxiv.1502.03167,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,2015,24377,
10.1109/tkde.2009.191,A Survey on Transfer Learning,2009,23095,
10.57702/o9raffed,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,2024,15691,
10.1007/bf02551274,Approximation by superpositions of a sigmoidal function,1989,13657,
10.7551/mitpress/4175.001.0001,Learning with Kernels,2001,9541,
10.1016/s0893-6080(05)80023-1,Stacked generalization,1992,7440,
10.1016/s1388-2457(99)00141-8,Event-related EEG/MEG synchronization and desynchronization: basic principles,1999,7080,
10.1007/978-3-7908-2604-3_16,Large-Scale Machine Learning with Stochastic Gradient Descent,2010,5624,
10.5244/c.29.41,Deep Face Recognition,2015,5070,
10.1088/1741-2552/aace8c,EEGNet: a compact convolutional neural network for EEG-based brain–computer interfaces,2018,4216,
10.3389/fnins.2013.00267,MEG and EEG data analysis with MNE-Python,2013,3968,
10.1002/hbm.23730,Deep learning with convolutional neural networks for EEG decoding and visualization,2017,3467,
10.1109/cvpr.2015.7298640,Deep neural networks are easily fooled: High confidence predictions for unrecognizable images,2015,3305,
10.1109/tbme.2004.827072,BCI2000: A General-Purpose Brain-Computer Interface (BCI) System,2004,3002,
10.1016/s0047-259x(03)00096-4,A well-conditioned estimator for large-dimensional covariance matrices,2003,2924,
10.1017/cbo9781107298019,Understanding Machine Learning,2014,2916,
10.1137/s0895479895290954,The Geometry of Algorithms with Orthogonality Constraints,1998,2747,
10.1515/9781400830244,Optimization Algorithms on Matrix Manifolds,2008,2728,
10.48550/arxiv.1312.6203,Spectral Networks and Locally Connected Networks on Graphs,2013,2725,
10.1088/1741-2560/4/2/r01,A review of classification algorithms for EEG-based brain–computer interfaces,2007,2628,
10.1109/86.895946,Optimal spatial filtering of single trial EEG during imagined hand movement,2000,2437,
10.1109/iccv.2009.5459469,What is the best multi-stage architecture for object recognition?,2009,2176,
10.1088/1741-2552/aab2f2,A review of classification algorithms for EEG-based brain–computer interfaces: a 10 year update,2018,2113,
10.1109/msp.2008.4408441,Optimizing Spatial filters for Robust EEG Single-Trial Analysis,2008,2065,
10.1609/aaai.v30i1.10306,Return of Frustratingly Easy Domain Adaptation,2016,1879,
10.1016/j.neuroimage.2005.12.003,Mu rhythm (de)synchronization and EEG single-trial classification of different motor imagery tasks,2006,1579,
10.1007/s11263-005-3222-z,A Riemannian Framework for Tensor Computing,2005,1549,
10.1002/wps.21018,The World Mental Health Report: transforming mental health for all,2022,1458,
10.1109/ijcnn.2008.4634130,Filter Bank Common Spatial Pattern (FBCSP) in Brain-Computer Interface,2008,1383,
10.1016/j.clinph.2004.01.001,EEG dynamics in patients with Alzheimer's disease,2004,1327,
