config,eval,dataset,auc,acc,f1,sens,spec
H1_base,within,modma,0.5848,0.5472,0.5182,0.3333,0.7241
H1_base,within,mumtaz,0.9369,0.8621,0.8614,0.9000,0.8214
H1_base,within,opennuero,0.7130,0.6446,0.6214,0.5217,0.7200
H1_base,LODO,modma,0.7184,0.6604,0.6573,0.6250,0.6897
H1_base,LODO,mumtaz,0.5750,0.4828,0.4669,0.3000,0.6786
H1_base,LODO,opennuero,0.5959,0.6612,0.6147,0.4130,0.8133
H1_base,pooled,all3,0.7881,0.7414,0.7357,0.6900,0.7803
H2_ss8,within,modma,0.6207,0.6415,0.6146,0.4167,0.8276
H2_ss8,within,mumtaz,0.9452,0.8793,0.8790,0.9000,0.8571
H2_ss8,within,opennuero,0.7290,0.6777,0.6621,0.6087,0.7200
H2_ss8,LODO,modma,0.7126,0.6415,0.6221,0.4583,0.7931
H2_ss8,LODO,mumtaz,0.7464,0.5345,0.4907,0.2333,0.8571
H2_ss8,LODO,opennuero,0.6212,0.5950,0.5603,0.4130,0.7067
